SK_ID_PREV,SK_ID_CURR,MONTHS_BALANCE,CNT_INSTALMENT,CNT_INSTALMENT_FUTURE,NAME_CONTRACT_STATUS,SK_DPD,SK_DPD_DEF
2728402,409076,-6,12.0,11.0,Active,0,0
2181914,208312,-40,18.0,17.0,Active,0,0
1693282,325817,-12,12.0,2.0,Active,0,0
1329235,279940,-12,48.0,48.0,Active,0,0
1043097,261500,-25,18.0,18.0,Active,0,0
1001554,396041,-18,24.0,23.0,Active,0,0
1147472,266499,-82,6.0,3.0,Active,0,0
1103999,317249,-5,2.0,0.0,Completed,0,0
2773494,280342,-65,8.0,4.0,Active,0,0
1029092,238850,-18,12.0,0.0,Completed,0,0
1000237,208312,-11,11.0,0.0,Completed,0,0
1118765,125093,-25,30.0,26.0,Active,0,0
2239289,407315,-41,18.0,17.0,Active,0,0
1543763,293971,-12,24.0,12.0,Active,0,0
1043097,261500,-12,18.0,5.0,Active,0,0
1543763,293971,-6,24.0,6.0,Active,0,0
2816721,208312,-5,36.0,30.0,Active,0,0
2228785,126707,-5,24.0,18.0,Active,0,0
1000237,208312,-12,12.0,2.0,Active,0,0
2639837,398163,-5,12.0,6.0,Active,0,0
1799505,283065,-22,6.0,2.0,Active,0,0
1060395,317249,-18,42.0,23.0,Active,0,0
1306722,126707,-17,24.0,24.0,Active,0,0
2639837,398163,-11,12.0,12.0,Active,0,0
2745251,398163,-2,36.0,33.0,Active,0,0
1029092,238850,-19,12.0,1.0,Active,0,0
2127332,396041,-3,12.0,9.0,Active,0,0
2457875,353814,-29,48.0,41.0,Active,0,0
1387661,154747,-45,14.0,1.0,Active,0,0
2713945,125093,-48,10.0,3.0,Active,0,0
2713945,125093,-47,10.0,2.0,Active,0,0
1315809,213818,-65,5.0,2.0,Active,0,0
1663899,208312,-6,24.0,3.0,Active,0,0
2639837,398163,-3,8.0,0.0,Completed,0,0
1569218,131286,-49,12.0,7.0,Active,0,0
1033353,109346,-20,18.0,2.0,Active,0,0
2457875,353814,-20,48.0,32.0,Active,0,0
1663899,208312,-13,24.0,10.0,Active,0,0
2378487,266499,-20,12.0,0.0,Completed,0,0
1362500,238850,-43,18.0,18.0,Signed,0,0
1607451,213240,-82,10.0,0.0,Completed,0,0
1485615,238850,-17,18.0,11.0,Active,0,0
1995429,317814,-82,12.0,3.0,Active,0,0
1033353,109346,-19,18.0,1.0,Active,0,0
1118765,125093,-28,30.0,29.0,Active,0,0
1970129,280342,-41,24.0,16.0,Active,0,0
1970129,280342,-43,24.0,18.0,Active,0,0
1456702,280342,-13,24.0,18.0,Active,0,0
2056361,264627,-72,12.0,2.0,Active,0,0
1538723,407315,-12,60.0,51.0,Active,0,0
1060395,317249,-19,42.0,24.0,Active,0,0
1693282,325817,-11,12.0,1.0,Active,0,0
1060395,317249,-25,42.0,30.0,Active,0,0
1043097,261500,-13,18.0,6.0,Active,0,0
1543763,293971,-4,24.0,4.0,Active,0,0
1543763,293971,-13,24.0,13.0,Active,0,0
1029092,238850,-28,12.0,10.0,Active,0,0
2378487,266499,-29,18.0,14.0,Active,0,0
2639837,398163,-4,12.0,5.0,Active,0,0
1060675,398163,-50,6.0,1.0,Active,0,0
2056361,264627,-74,12.0,4.0,Active,0,0
1970129,280342,-48,24.0,23.0,Active,0,0
2218173,299564,-20,2.0,0.0,Completed,0,0
2216325,407315,-48,18.0,1.0,Active,0,0
1973769,126707,-25,18.0,17.0,Active,0,0
1240172,344176,-18,12.0,10.0,Active,0,0
1060395,317249,-17,42.0,22.0,Active,0,0
1955771,317249,-5,12.0,12.0,Active,0,0
1060395,317249,-13,42.0,18.0,Active,0,0
1485615,238850,-19,18.0,13.0,Active,0,0
2366806,304977,-29,12.0,11.0,Active,0,0
2132600,208312,-80,18.0,18.0,Active,0,0
1926319,339954,-29,24.0,19.0,Active,0,0
1387661,154747,-49,14.0,5.0,Active,0,0
1607451,213240,-83,10.0,0.0,Active,1,1
2029260,213493,-30,6.0,6.0,Active,0,0
1147472,266499,-85,6.0,6.0,Active,0,0
1663899,208312,-14,24.0,11.0,Active,0,0
2617457,213818,-28,10.0,10.0,Active,0,0
2535347,170148,-20,12.0,12.0,Active,0,0
1033353,109346,-29,18.0,11.0,Active,0,0
1108566,124316,-66,9.0,7.0,Active,0,0
1439813,402376,-3,12.0,3.0,Active,0,0
2816721,208312,-3,36.0,28.0,Active,0,0
1068708,238850,-3,12.0,2.0,Active,0,0
2164553,299564,-41,2.0,0.0,Completed,0,0
2646516,293971,-58,10.0,2.0,Active,0,0
2374601,295711,-2,12.0,9.0,Active,0,0
1569218,131286,-43,12.0,1.0,Active,0,0
1752409,320940,-47,24.0,20.0,Active,0,0
2457875,353814,-12,48.0,24.0,Active,0,0
2048722,131286,-18,6.0,6.0,Active,0,0
1663899,208312,-17,24.0,14.0,Active,0,0
2819795,180741,-41,10.0,6.0,Active,0,0
1785460,271368,-6,12.0,7.0,Active,0,0
2127332,396041,-6,12.0,12.0,Active,0,0
2457875,353814,-19,48.0,31.0,Active,0,0
2803301,291513,-85,23.0,22.0,Active,0,0
1543763,293971,-22,24.0,22.0,Active,0,0
1118765,125093,-26,30.0,27.0,Active,0,0
1000237,208312,-21,12.0,11.0,Active,1,1
2374601,295711,-5,12.0,12.0,Active,0,0
1973769,126707,-20,18.0,12.0,Active,0,0
1237338,407315,-2,12.0,6.0,Active,0,0
1441849,317249,-54,17.0,9.0,Active,0,0
1456702,280342,-17,24.0,22.0,Active,0,0
2714853,285282,-25,12.0,11.0,Active,0,0
1060395,317249,-30,42.0,35.0,Active,0,0
1538723,407315,-17,60.0,56.0,Active,0,0
2056361,264627,-76,12.0,6.0,Active,0,0
1693282,325817,-22,12.0,12.0,Active,0,0
1663899,208312,-4,24.0,1.0,Active,0,0
2457875,353814,-21,48.0,33.0,Active,0,0
2457875,353814,-15,48.0,27.0,Active,0,0
2457875,353814,-5,49.0,17.0,Active,0,0
1387661,154747,-48,14.0,4.0,Active,0,0
1569218,131286,-52,12.0,10.0,Active,0,0
1043097,261500,-16,18.0,9.0,Active,0,0
1362500,238850,-41,18.0,16.0,Active,0,0
1460560,339954,-35,10.0,2.0,Active,0,0
1237338,407315,-5,12.0,9.0,Active,0,0
1681773,266499,-85,6.0,0.0,Completed,0,0
1456702,280342,-16,24.0,21.0,Active,0,0
1016527,261500,-23,36.0,27.0,Active,0,0
2120696,131421,-5,10.0,8.0,Active,0,0
2120696,131421,-2,10.0,5.0,Active,0,0
1289961,264627,-44,48.0,40.0,Active,0,0
1350928,154747,-20,6.0,1.0,Active,0,0
1350928,154747,-24,6.0,5.0,Active,0,0
1000237,208312,-19,12.0,9.0,Active,0,0
1949641,304977,-3,60.0,47.0,Active,0,0
2378487,266499,-22,18.0,7.0,Active,0,0
2181914,208312,-41,18.0,18.0,Active,0,0
1068708,238850,-5,12.0,4.0,Active,0,0
1387661,154747,-47,14.0,3.0,Active,0,0
1485615,238850,-16,18.0,10.0,Active,0,0
1033353,109346,-27,18.0,9.0,Active,2,2
1569218,131286,-51,12.0,9.0,Active,0,0
1799505,283065,-20,6.0,0.0,Completed,0,0
2002894,398163,-22,10.0,9.0,Active,0,0
1289961,264627,-48,48.0,44.0,Active,0,0
1949641,304977,-5,60.0,49.0,Active,0,0
2299815,178610,-55,24.0,19.0,Active,0,0
1060395,317249,-26,42.0,31.0,Active,0,0
1439813,402376,-12,12.0,12.0,Active,0,0
1538723,407315,-11,60.0,50.0,Active,0,0
1420748,126707,-4,,,Returned to the store,0,0
1029092,238850,-21,12.0,3.0,Active,0,0
2378487,266499,-27,18.0,12.0,Active,0,0
1320350,178610,-66,6.0,3.0,Active,0,0
1663899,208312,-11,24.0,8.0,Active,0,0
1370450,131286,-25,4.0,0.0,Completed,0,0
1411250,320940,-28,12.0,11.0,Active,0,0
2412474,299564,-49,5.0,0.0,Completed,0,0
1785460,271368,-7,12.0,8.0,Active,0,0
1000237,208312,-17,12.0,7.0,Active,0,0
1543763,293971,-2,24.0,2.0,Active,0,0
2024368,409076,-23,12.0,11.0,Active,0,0
2606064,264627,-26,12.0,0.0,Active,0,0
1456702,280342,-2,24.0,7.0,Active,0,0
1060395,317249,-31,42.0,36.0,Active,0,0
1033353,109346,-23,18.0,5.0,Active,0,0
1387661,154747,-51,14.0,7.0,Active,2,2
1350928,154747,-22,6.0,3.0,Active,0,0
2299815,178610,-56,24.0,20.0,Active,0,0
2816721,208312,-2,36.0,27.0,Active,0,0
1068708,238850,-2,12.0,1.0,Active,0,0
1949641,304977,-2,60.0,46.0,Active,0,0
1068708,238850,-13,12.0,12.0,Active,0,0
1016527,261500,-29,36.0,33.0,Active,0,0
2714853,285282,-21,12.0,7.0,Active,0,0
2378487,266499,-23,18.0,8.0,Active,0,0
2246374,407315,-81,8.0,4.0,Active,0,0
2535347,170148,-19,1.0,0.0,Completed,0,0
1693282,325817,-15,12.0,5.0,Active,0,0
2532567,208312,-54,9.0,8.0,Active,0,0
1718301,138820,-5,12.0,9.0,Active,0,0
1949641,304977,-13,60.0,57.0,Active,0,0
1068708,238850,-4,12.0,3.0,Active,0,0
2816721,208312,-4,36.0,29.0,Active,0,0
2239289,407315,-35,7.0,0.0,Completed,0,0
1456702,280342,-18,24.0,23.0,Active,0,0
1289961,264627,-42,48.0,38.0,Active,0,0
2383945,320940,-5,6.0,6.0,Active,0,0
2383945,320940,-2,6.0,3.0,Active,0,0
1289961,264627,-49,48.0,45.0,Active,0,0
1538723,407315,-18,60.0,57.0,Active,0,0
1693282,325817,-18,12.0,8.0,Active,0,0
1043097,261500,-15,18.0,8.0,Active,0,0
1543763,293971,-15,24.0,15.0,Active,0,0
1287858,407315,-85,10.0,10.0,Active,0,0
1414515,396041,-52,12.0,5.0,Active,0,0
2819795,180741,-35,10.0,0.0,Completed,0,0
1108566,124316,-59,9.0,0.0,Completed,0,0
1060395,317249,-6,42.0,10.0,Active,0,0
1060395,317249,-12,42.0,17.0,Active,0,0
1460560,339954,-34,10.0,1.0,Active,0,0
2002894,398163,-20,10.0,7.0,Active,0,0
1233744,124316,-83,10.0,0.0,Completed,0,0
1312239,407315,-76,4.0,1.0,Active,0,0
2378487,266499,-26,18.0,11.0,Active,0,0
2181914,208312,-31,18.0,8.0,Active,0,0
1000237,208312,-15,12.0,5.0,Active,0,0
1441849,317249,-47,18.0,2.0,Active,0,0
1060395,317249,-28,42.0,33.0,Active,0,0
1308129,238850,-55,12.0,10.0,Active,0,0
2137045,106937,-18,12.0,8.0,Active,0,0
2803301,291513,-81,23.0,18.0,Active,0,0
1285018,317249,-47,24.0,2.0,Active,0,0
1029092,238850,-20,12.0,2.0,Active,0,0
1414515,396041,-50,12.0,3.0,Active,0,0
1949641,304977,-4,60.0,48.0,Active,0,0
1308129,238850,-49,12.0,4.0,Active,0,0
1060675,398163,-49,4.0,0.0,Completed,0,0
2271852,402376,-23,10.0,5.0,Active,0,0
1285018,317249,-48,24.0,3.0,Active,0,0
1016527,261500,-28,36.0,32.0,Active,0,0
1033353,109346,-18,18.0,0.0,Completed,0,0
1439813,402376,-4,12.0,4.0,Active,0,0
1118765,125093,-21,8.0,0.0,Completed,0,0
1663899,208312,-21,24.0,18.0,Active,0,0
1363939,280342,-60,4.0,1.0,Active,0,0
1392011,106937,-5,12.0,10.0,Active,0,0
2412474,299564,-51,5.0,2.0,Active,0,0
2378487,266499,-21,12.0,0.0,Active,0,0
1233744,124316,-85,10.0,2.0,Active,0,0
1663899,208312,-19,24.0,16.0,Active,0,0
1843885,182501,-44,6.0,3.0,Active,0,0
1663899,208312,-18,24.0,15.0,Active,0,0
1663899,208312,-12,24.0,9.0,Active,0,0
2457875,353814,-7,49.0,19.0,Active,0,0
2457875,353814,-17,48.0,29.0,Active,0,0
2457875,353814,-27,48.0,39.0,Active,0,0
1970129,280342,-26,24.0,0.0,Completed,0,0
2803301,291513,-82,23.0,19.0,Active,0,0
1060395,317249,-16,42.0,21.0,Active,0,0
1955771,317249,-3,12.0,10.0,Active,0,0
1543763,293971,-11,24.0,11.0,Active,0,0
1543763,293971,-17,24.0,17.0,Active,0,0
1043097,261500,-17,18.0,10.0,Active,0,0
1068708,238850,-6,12.0,5.0,Active,0,0
1068708,238850,-12,12.0,11.0,Active,0,0
1110623,217493,-13,6.0,1.0,Active,0,0
2412474,299564,-52,5.0,3.0,Active,0,0
2412474,299564,-50,5.0,1.0,Active,0,0
2745251,398163,-4,36.0,35.0,Active,0,0
1456702,280342,-5,24.0,10.0,Active,0,0
1973769,126707,-22,18.0,14.0,Active,0,0
1439813,402376,-6,12.0,6.0,Active,0,0
2246374,407315,-84,8.0,7.0,Active,0,0
1569218,131286,-46,12.0,4.0,Active,0,0
1752409,320940,-48,24.0,21.0,Active,2,2
1440513,304977,-48,24.0,21.0,Active,0,0
1441849,317249,-48,18.0,3.0,Active,0,0
1718301,138820,-2,12.0,6.0,Active,0,0
2024368,409076,-21,12.0,9.0,Active,0,0
1392011,106937,-3,12.0,8.0,Active,11,0
1885167,344176,-3,12.0,9.0,Active,0,0
2532567,208312,-48,18.0,2.0,Active,0,0
1607451,213240,-84,10.0,1.0,Active,1,1
1460560,339954,-42,10.0,9.0,Active,0,0
1693282,325817,-14,12.0,4.0,Active,0,0
1060395,317249,-14,42.0,19.0,Active,0,0
2803301,291513,-84,23.0,21.0,Active,0,0
2180946,293971,-65,10.0,7.0,Active,0,0
2228785,126707,-3,24.0,16.0,Active,0,0
1663899,208312,-15,24.0,12.0,Active,0,0
2457875,353814,-23,48.0,35.0,Active,0,0
1362500,238850,-40,18.0,15.0,Active,0,0
1281172,131286,-5,6.0,3.0,Active,0,0
2216325,407315,-54,12.0,7.0,Active,0,0
1281172,131286,-6,6.0,4.0,Active,0,0
1281172,131286,-3,6.0,1.0,Active,0,0
2606064,264627,-33,60.0,56.0,Active,0,0
1456702,280342,-19,24.0,24.0,Active,0,0
1821437,344176,-29,6.0,5.0,Active,4,0
1970129,280342,-31,25.0,6.0,Active,0,0
1543763,293971,-14,24.0,14.0,Active,0,0
1668925,317249,-43,18.0,15.0,Active,0,0
1057669,314364,-25,10.0,7.0,Active,0,0
1057669,314364,-21,10.0,3.0,Active,0,0
2228785,126707,-11,24.0,24.0,Active,0,0
1949641,304977,-11,60.0,55.0,Active,0,0
1915800,124316,-82,12.0,10.0,Active,0,0
1306722,126707,-13,4.0,0.0,Completed,0,0
2432900,213240,-83,10.0,10.0,Signed,0,0
1060675,398163,-53,6.0,4.0,Active,0,0
1233744,124316,-84,10.0,1.0,Active,0,0
1000237,208312,-13,12.0,3.0,Active,0,0
2432900,213240,-82,10.0,9.0,Active,1,1
1308129,238850,-48,12.0,3.0,Active,0,0
2745251,398163,-5,36.0,36.0,Active,0,0
2077084,398163,-65,6.0,6.0,Active,0,0
1414515,396041,-48,12.0,1.0,Active,0,0
1538723,407315,-6,15.0,0.0,Completed,0,0
1915800,124316,-78,12.0,6.0,Active,0,0
1414515,396041,-51,12.0,4.0,Active,0,0
2617457,213818,-29,,,Signed,0,0
2271852,402376,-27,10.0,9.0,Active,0,0
2606064,264627,-34,60.0,57.0,Active,0,0
1029092,238850,-25,12.0,7.0,Active,0,0
1569423,126707,-17,10.0,7.0,Active,0,0
1060395,317249,-11,42.0,16.0,Active,0,0
1663899,208312,-16,24.0,13.0,Active,0,0
1000237,208312,-14,12.0,4.0,Active,0,0
1439813,402376,-7,12.0,7.0,Active,0,0
1060395,317249,-5,33.0,0.0,Active,0,0
1569218,131286,-48,12.0,6.0,Active,0,0
2646516,293971,-65,10.0,9.0,Active,0,0
1420748,126707,-5,,,Signed,0,0
1420748,126707,-2,12.0,12.0,Active,0,0
2056361,264627,-73,12.0,3.0,Active,0,0
2543264,182501,-91,6.0,4.0,Active,0,0
2378487,266499,-31,18.0,16.0,Active,0,0
1456702,280342,-15,24.0,20.0,Active,0,0
1285018,317249,-49,24.0,4.0,Active,0,0
1285018,317249,-50,24.0,5.0,Active,0,0
2378487,266499,-32,18.0,17.0,Active,0,0
1964030,213493,-14,24.0,19.0,Active,0,0
1964030,213493,-15,24.0,20.0,Active,0,0
1456702,280342,-10,24.0,15.0,Active,0,0
2271852,402376,-26,10.0,8.0,Active,0,0
2714853,285282,-26,12.0,12.0,Active,0,0
1237338,407315,-4,12.0,8.0,Active,0,0
1441849,317249,-55,17.0,10.0,Active,0,0
1693282,325817,-19,12.0,9.0,Active,0,0
1362500,238850,-32,18.0,7.0,Active,0,0
1748416,208312,-26,20.0,0.0,Completed,0,0
2609640,249909,-30,6.0,5.0,Active,0,0
1821437,344176,-30,6.0,6.0,Active,0,0
1970129,280342,-28,25.0,3.0,Active,0,0
2077084,398163,-62,6.0,3.0,Active,0,0
2056361,264627,-75,12.0,5.0,Active,0,0
1043097,261500,-14,18.0,7.0,Active,0,0
1693282,325817,-17,12.0,7.0,Active,0,0
1577681,448125,-91,8.0,5.0,Active,0,0
2246374,407315,-77,8.0,0.0,Completed,0,0
2803301,291513,-77,23.0,14.0,Active,0,0
1569423,126707,-13,7.0,0.0,Completed,0,0
1970129,280342,-47,24.0,22.0,Active,0,0
2457875,353814,-6,49.0,18.0,Active,0,0
1490319,180741,-17,18.0,15.0,Active,0,0
2077084,398163,-58,6.0,0.0,Completed,0,0
1060395,317249,-21,42.0,26.0,Active,0,0
1033353,109346,-33,18.0,16.0,Active,0,0
1060395,317249,-33,42.0,38.0,Active,0,0
1285018,317249,-54,11.0,9.0,Active,0,0
1287858,407315,-84,10.0,9.0,Active,0,0
1663899,208312,-5,24.0,2.0,Active,0,0
2181914,208312,-28,18.0,5.0,Active,0,0
1068708,238850,-11,12.0,10.0,Active,0,0
1387661,154747,-46,14.0,2.0,Active,0,0
2180946,293971,-58,10.0,0.0,Completed,0,0
2457875,353814,-33,48.0,45.0,Active,0,0
2228785,126707,-6,24.0,19.0,Active,0,0
1949641,304977,-6,60.0,50.0,Active,0,0
2218173,299564,-22,12.0,11.0,Active,0,0
1033353,109346,-35,18.0,18.0,Active,0,0
1456702,280342,-11,24.0,16.0,Active,0,0
2532567,208312,-55,9.0,9.0,Active,0,0
2024368,409076,-18,12.0,6.0,Active,0,0
1362500,238850,-28,18.0,3.0,Active,0,0
2457875,353814,-3,49.0,15.0,Active,0,0
1915800,124316,-83,12.0,11.0,Active,0,0
1543763,293971,-18,24.0,18.0,Active,0,0
1543763,293971,-5,24.0,5.0,Active,0,0
1362500,238850,-26,18.0,1.0,Active,0,0
1663899,208312,-25,24.0,22.0,Active,0,0
1060395,317249,-32,42.0,37.0,Active,0,0
1718301,138820,-4,12.0,8.0,Active,0,0
2120696,131421,-4,10.0,7.0,Active,0,0
1289961,264627,-50,48.0,46.0,Active,0,0
2383945,320940,-4,6.0,5.0,Active,0,0
1485615,238850,-13,11.0,0.0,Completed,0,0
1949641,304977,-16,60.0,60.0,Active,0,0
1287858,407315,-77,10.0,2.0,Active,0,0
2721492,208312,-86,12.0,9.0,Active,0,0
1043097,261500,-11,18.0,4.0,Active,0,0
2543264,182501,-88,6.0,1.0,Active,0,0
1387661,154747,-54,14.0,10.0,Active,0,0
1460560,339954,-36,10.0,3.0,Active,0,0
1336427,317249,-80,14.0,4.0,Active,0,0
2816721,208312,-6,36.0,31.0,Active,0,0
1439813,402376,-5,12.0,5.0,Active,0,0
1485615,238850,-20,18.0,14.0,Active,0,0
1799505,283065,-24,6.0,4.0,Active,0,0
1955771,317249,-2,12.0,9.0,Active,0,0
1748416,208312,-31,24.0,8.0,Active,0,0
1029092,238850,-26,12.0,8.0,Active,0,0
1953682,249909,-3,12.0,4.0,Active,0,0
1187434,293971,-48,36.0,1.0,Active,0,0
1693282,325817,-13,12.0,3.0,Active,0,0
2246374,407315,-83,8.0,6.0,Active,0,0
2412474,299564,-53,5.0,4.0,Active,0,0
2721492,208312,-81,12.0,4.0,Active,0,0
2457875,353814,-34,48.0,46.0,Active,0,0
1362500,238850,-33,18.0,8.0,Active,0,0
1668925,317249,-41,18.0,13.0,Active,0,0
1748416,208312,-43,24.0,21.0,Active,0,0
1748416,208312,-41,24.0,19.0,Active,0,0
1187434,293971,-54,8.0,7.0,Active,0,0
1392011,106937,-6,12.0,11.0,Active,0,0
1748416,208312,-32,24.0,9.0,Active,0,0
1485615,238850,-22,18.0,16.0,Active,0,0
1785460,271368,-5,12.0,6.0,Active,0,0
1693282,325817,-20,12.0,10.0,Active,0,0
1799505,283065,-25,6.0,5.0,Active,0,0
1748416,208312,-30,24.0,7.0,Active,0,0
1312239,407315,-77,4.0,2.0,Active,0,0
1285018,317249,-52,24.0,7.0,Active,0,0
1118765,125093,-22,30.0,23.0,Active,0,0
1441849,317249,-49,18.0,4.0,Active,0,0
2216325,407315,-55,12.0,8.0,Active,0,0
1289961,264627,-41,48.0,37.0,Active,0,0
1926319,339954,-24,24.0,14.0,Active,0,0
1668925,317249,-40,18.0,12.0,Active,0,0
2137045,106937,-15,7.0,0.0,Completed,0,0
2532567,208312,-47,18.0,1.0,Active,0,0
1885167,344176,-6,12.0,12.0,Active,0,0
2606064,264627,-29,60.0,51.0,Active,0,0
1926319,339954,-30,24.0,20.0,Active,0,0
1411250,320940,-29,12.0,12.0,Active,0,0
1060395,317249,-15,42.0,20.0,Active,0,0
1569218,131286,-53,12.0,11.0,Active,0,0
1663899,208312,-22,24.0,19.0,Active,0,0
1387661,154747,-52,14.0,8.0,Active,4,4
2803301,291513,-83,23.0,20.0,Active,0,0
1187434,293971,-55,8.0,8.0,Active,0,0
1715334,126707,-33,12.0,6.0,Active,0,0
1923682,238850,-80,12.0,11.0,Active,0,0
1387661,154747,-53,14.0,9.0,Active,0,0
2271852,402376,-25,10.0,7.0,Active,0,0
2772557,353814,-48,6.0,4.0,Active,0,0
1748416,208312,-40,24.0,18.0,Active,0,0
1953682,249909,-6,12.0,7.0,Active,0,0
1569218,131286,-47,12.0,5.0,Active,0,0
2606064,264627,-35,60.0,58.0,Active,0,0
1748416,208312,-33,24.0,10.0,Active,0,0
1681773,266499,-92,6.0,6.0,Active,0,0
1955771,317249,-4,12.0,11.0,Active,0,0
1456702,280342,-14,24.0,19.0,Active,0,0
1941370,106937,-4,24.0,23.0,Active,0,0
1110623,217493,-17,6.0,5.0,Active,0,0
2216325,407315,-49,18.0,2.0,Active,0,0
2772557,353814,-49,6.0,5.0,Active,0,0
2228785,126707,-4,24.0,17.0,Active,0,0
1387661,154747,-50,14.0,6.0,Active,0,0
1949641,304977,-14,60.0,58.0,Active,0,0
2728402,409076,-3,12.0,8.0,Active,0,0
1440513,304977,-47,24.0,20.0,Active,0,0
1543763,293971,-21,24.0,21.0,Active,0,0
1043097,261500,-21,18.0,14.0,Active,0,0
1414515,396041,-49,12.0,2.0,Active,0,0
1799505,283065,-26,6.0,6.0,Active,0,0
1843885,182501,-42,6.0,1.0,Active,0,0
1456702,280342,-3,24.0,8.0,Active,0,0
1543763,293971,-3,24.0,3.0,Active,0,0
1308129,238850,-54,12.0,9.0,Active,0,0
1308129,238850,-47,12.0,2.0,Active,0,0
2216325,407315,-47,12.0,0.0,Completed,0,0
1029092,238850,-30,12.0,12.0,Signed,0,0
1970129,280342,-49,24.0,24.0,Active,0,0
2639837,398163,-6,12.0,7.0,Active,0,0
1000237,208312,-18,12.0,8.0,Active,0,0
2228785,126707,-2,24.0,15.0,Active,0,0
1320350,178610,-63,6.0,0.0,Completed,0,0
1187845,109346,-49,18.0,15.0,Active,0,0
1973769,126707,-24,18.0,16.0,Active,0,0
1538723,407315,-21,60.0,60.0,Active,0,0
2639837,398163,-10,12.0,11.0,Active,0,0
2773494,280342,-61,8.0,0.0,Active,0,0
1941370,106937,-3,24.0,22.0,Active,0,0
1057669,314364,-26,10.0,8.0,Active,0,0
1370450,131286,-26,4.0,1.0,Active,0,0
1350928,154747,-25,6.0,6.0,Signed,0,0
2029260,213493,-29,6.0,5.0,Active,0,0
1785460,271368,-3,12.0,4.0,Active,0,0
1000237,208312,-16,12.0,6.0,Active,0,0
1029092,238850,-22,12.0,4.0,Active,0,0
1362500,238850,-31,18.0,6.0,Active,0,0
1312239,407315,-78,4.0,3.0,Active,0,0
1681773,266499,-88,6.0,2.0,Active,0,0
2773494,280342,-62,8.0,1.0,Active,0,0
1538723,407315,-10,60.0,49.0,Active,0,0
2180946,293971,-62,10.0,4.0,Active,0,0
2728402,409076,-5,12.0,10.0,Active,0,0
1953682,249909,-5,12.0,6.0,Active,0,0
2374601,295711,-4,12.0,11.0,Active,0,0
1973769,126707,-17,18.0,9.0,Active,0,0
1538723,407315,-19,60.0,58.0,Active,0,0
1569218,131286,-50,12.0,8.0,Active,0,0
1995429,317814,-83,12.0,4.0,Active,0,0
1329235,279940,-11,48.0,47.0,Active,0,0
1362500,238850,-25,18.0,0.0,Completed,0,0
2457875,353814,-26,48.0,38.0,Active,0,0
2457875,353814,-18,48.0,30.0,Active,0,0
2056361,264627,-78,12.0,8.0,Active,0,0
1033353,109346,-21,18.0,3.0,Active,0,0
1995429,317814,-84,12.0,5.0,Active,0,0
1060395,317249,-4,33.0,0.0,Completed,0,0
1060675,398163,-51,6.0,2.0,Active,0,0
1147472,266499,-83,6.0,4.0,Active,0,0
1995429,317814,-88,12.0,9.0,Active,0,0
1439813,402376,-11,12.0,11.0,Active,0,0
2127332,396041,-5,12.0,11.0,Active,0,0
1060395,317249,-34,42.0,39.0,Active,0,0
1060395,317249,-27,42.0,32.0,Active,0,0
1108566,124316,-63,9.0,4.0,Active,0,0
1681773,266499,-87,6.0,1.0,Active,0,0
1607451,213240,-86,10.0,4.0,Active,0,0
1941370,106937,-5,24.0,24.0,Active,0,0
2056361,264627,-77,12.0,7.0,Active,0,0
